1756067133, 80m, 3574278, FT8, G8URE, IO90QU, 223, 'Rx', SQ8NGI, KO11FU, 269, -8
1756067147, 80m, 3575509, FT8, G8URE, IO90QU, 223, 'Rx', SA2RJO, KP03DQ, 284, -9
1756067147, 80m, 3574213, FT8, G8URE, IO90QU, 223, 'Rx', DH0HD, JO62GK40, 230, -9
1756067147, 80m, 3574759, FT8, G8URE, IO90QU, 223, 'Rx', LZ3AN, KN22SB, 212, -11
1756067162, 80m, 3573806, FT8, G8URE, IO90QU, 223, 'Rx', R2PT, KO84LL, 54, -7
1756067162, 80m, 3574841, FT8, G8URE, IO90QU, 223, 'Rx', 2E0LOD, JO01GJ, 223, -8
1756067177, 80m, 3574128, FT8, G8URE, IO90QU, 223, 'Rx', IK2JYT, JN45MR12, 248, -5
1756067177, 80m, 3573588, FT8, G8URE, IO90QU, 223, 'Rx', IK2RZQ, JN45MP03, 248, -6
1756067206, 80m, 3574053, FT8, G8URE, IO90QU, 223, 'Rx', DL8RB, JN39JG43JT, 230, -5
1756067206, 80m, 3573444, FT8, G8URE, IO90QU, 223, 'Rx', F4KOL, JN03SL, 227, -10
1756067236, 80m, 3573406, FT8, G8URE, IO90QU, 223, 'Rx', F5SJH.P, IN88LL, 227, -12
1756067204, 40m, 7075445, FT8, M7ECR, JO01NE, 223, 'Rx', M7SZB, IO94FU, 223, -15
1756067219, 40m, 7074767, FT8, M7ECR, JO01NE, 223, 'Rx', GU7DAI, IN89RL22, 106, -4
1756067219, 40m, 7074555, FT8, M7ECR, JO01NE, 223, 'Rx', EB1LA, IN73BI, 281, 3
1756067220, 40m, 7076008, FT8, M7ECR, JO01NE, 223, 'Rx', OE9GWV, JN47UE, 206, -8
1756067217, 20m, 14075715, FT8, G6IQI, IO91HA, 223, 'Rx', EW4MO, KO13UP, 27, -7
1756067216, 40m, 7074809, FT8, G8RTK, IO93DU, 223, 'Rx', GU7DAI, IN89RL22, 106, 3
1756067217, 40m, 7074597, FT8, G8RTK, IO93DU, 223, 'Rx', EB1LA, IN73BI, 281, -10
1756067217, 40m, 7076772, FT8, G8RTK, IO93DU, 223, 'Rx', DM1SV, JN49ID, 230, -12
1756067219, 40m, 7075877, FT8, G8RTK, IO93DU, 223, 'Rx', SP9SM, JO90KD, 269, -17
1756067220, 40m, 7075468, FT8, G8RTK, IO93DU, 223, 'Rx', PD3WMA, JO22OI, 263, -18
1756067204, 20m, 14075245, FT8, G4ZJH, JO02RF, 223, 'Rx', N3WT, FM19EJ85IT, 291, -18
1756067217, 15m, 21075286, FT8, M7SQI, IO70PQ, 223, 'Rx', DH6SAY, JN48XJ, 230, -16
1756067219, 40m, 7074768, FT8, G4GHT, IO83UC03, 223, 'Rx', GU7DAI, IN89RL22, 106, 7
1756067221, 40m, 7075008, FT8, G4GHT, IO83UC03, 223, 'Rx', UA4FKT, LO23KE, 54, -11
1756067225, 40m, 7075669, FT8, G4GHT, IO83UC03, 223, 'Rx', F5OYA.P, JN13AO, 227, -3
1756067187, 20m, 14075526, FT8, 2E0OWM, IO91TU, 223, 'Rx', R3DLM, KO85MT, 54, -10
1756067187, 20m, 14075227, FT8, 2E0OWM, IO91TU, 223, 'Rx', ZB2JK, IM76HD83, 233, -20
1756067189, 20m, 14075072, FT8, 2E0OWM, IO91TU, 223, 'Rx', HA7TJ, JN97PL, 239, -5
1756067189, 20m, 14074840, FT8, 2E0OWM, IO91TU, 223, 'Rx', TA1ED, KN30LM, 390, -24
1756067202, 20m, 14074415, FT8, 2E0OWM, IO91TU, 223, 'Rx', DG9MAQ, JN58LJ01, 230, -18
1756067204, 20m, 14074602, FT8, 2E0OWM, IO91TU, 223, 'Rx', R3MAJ, KO97DN, 54, -23
1756067217, 20m, 14075687, FT8, 2E0OWM, IO91TU, 223, 'Rx', EW4MO, KO13UP, 27, -11
1756067220, 20m, 14075313, FT8, 2E0OWM, IO91TU, 223, 'Rx', LZ1ZF, KN22TK51, 212, -24
1756067232, 20m, 14076203, FT8, 2E0OWM, IO91TU, 223, 'Rx', SQ8BWM, KO11EG, 269, 9
1756067232, 20m, 14074756, FT8, 2E0OWM, IO91TU, 223, 'Rx', DJ2IO, JO31MK44, 230, -2
1756067232, 20m, 14075497, FT8, 2E0OWM, IO91TU, 223, 'Rx', SH5RJX, JO78HF30, 284, -12
1756067232, 20m, 14075242, FT8, 2E0OWM, IO91TU, 223, 'Rx', N3WT, FM19EJ85IT, 291, -18
1756067217, 15m, 21075355, FT8, G4SZD, IO94DR, 223, 'Rx', N2LQ, FN12AC78, 291, -13
1756067205, 20m, 14075270, FT8, GX0FRE, IO82UC, 223, 'Rx', 5Z4VJ, KI88JR, 430, 1
1756067205, 20m, 14076959, FT8, GX0FRE, IO82UC, 223, 'Rx', VR2KW, OL72DH13, 321, -12
1756067205, 20m, 14076632, FT8, GX0FRE, IO82UC, 223, 'Rx', PI4TX, JO22JP, 263, -14
1756067205, 20m, 14075556, FT8, GX0FRE, IO82UC, 223, 'Rx', ZB2JK, IM76HD83, 233, -14
1756067220, 10m, 28076923, FT8, GX0FRE, IO82UC, 223, 'Rx', EA2A, IN92TD, 281, -1
1756067220, 15m, 21076438, FT8, GX0FRE, IO82UC, 223, 'Rx', Z37CXY, KN02UD, 502, -4
1756067220, 20m, 14076090, FT8, GX0FRE, IO82UC, 223, 'Rx', DL6YDF, JO42CS, 230, 8
1756067220, 20m, 14076531, FT8, GX0FRE, IO82UC, 223, 'Rx', SQ8BWM, KO11EG, 269, 14
1756067220, 20m, 14076471, FT8, GX0FRE, IO82UC, 223, 'Rx', RA0ZIH, QO92DX, 15, -12
1756067220, 20m, 14075649, FT8, GX0FRE, IO82UC, 223, 'Rx', DM2LAP, JO31, 230, -16
1756067101, 40m, 7074431, FT8, G8URE, IO90QU, 223, 'Rx', I1LDE, JN45AN, 248, -13
1756067146, 40m, 7075334, FT8, G8URE, IO90QU, 223, 'Rx', TA4RC, KM59AJ, 390, -13
1756067176, 40m, 7074372, FT8, G8URE, IO90QU, 223, 'Rx', M0ABG, JO02SF, 223, -11
1756067190, 40m, 7076219, FT8, G8URE, IO90QU, 223, 'Rx', M7NFV, JO02OQ, 223, -5
1756067220, 40m, 7076053, FT8, G8URE, IO90QU, 223, 'Rx', IK6CGO, JN63PF51, 248, -9
1756067235, 40m, 7076653, FT8, G8URE, IO90QU, 223, 'Rx', OE9GWV, JN47UE, 206, -13
1756067218, 20m, 14075689, FT8, G7SLB, IO92QH, 223, 'Rx', EW4MO, KO13UP, 27, 2
1756067232, 20m, 14076205, FT8, G7SLB, IO92QH, 223, 'Rx', SQ8BWM, KO11EG, 269, 16
1756067232, 20m, 14075322, FT8, G7SLB, IO92QH, 223, 'Rx', DM2LAP, JO31, 230, -11
1756067238, 20m, 14074593, FT8, G7SLB, IO92QH, 223, 'Rx', DH1JG, JO31NG, 230, -21
1756067238, 20m, 14075500, FT8, G7SLB, IO92QH, 223, 'Rx', SH5RJX, JO78HF30, 284, -16
1756067239, 20m, 14074796, FT8, G7SLB, IO92QH, 223, 'Rx', UW5EQM, KN68RA97, 288, -13
1756067241, 20m, 14075379, FT8, G7SLB, IO92QH, 223, 'Rx', IK4ICS, JN54QN30, 248, -9
1756067242, 20m, 14074603, FT8, G7SLB, IO92QH, 223, 'Rx', R3MAJ, KO97DN, 54, -24
1756067247, 20m, 14074944, FT8, G7SLB, IO92QH, 223, 'Rx', 5Z4VJ, KI88JR, 430, 7
1756067144, 10m, 28074815, FT8, G1CWP, IO90WX, 223, 'Rx', 9A2CD, JN75LL, 497, 3
1756067189, 10m, 28074914, FT8, G1CWP, IO90WX, 223, 'Rx', SP9DHY, JO90HQ, 269, -9
1756067219, 10m, 28075078, FT8, G1CWP, IO90WX, 223, 'Rx', OK1GSB, JN79FP27, 503, -15
1756067234, 10m, 28076267, FT8, G1CWP, IO90WX, 223, 'Rx', EA2A, IN92TD, 281, 4
1756067053, 160m, 1840505, FT8, M0ZWW, JO01ED54, 223, 'Rx', F8BON, IN86WV, 227, -12
1756067128, 160m, 1842365, FT8, M0ZWW, JO01ED54, 223, 'Rx', F4GTB, JN18NT, 227, -11
1756067248, 160m, 1840760, FT8, M0ZWW, JO01ED54, 223, 'Rx', F1PBZ, JN26PV, 227, -16
1756066920, 20m, 14075301, FT8, G0IFI, IO81LD, 223, 'Rx', IW8FBM, JN70EV08, 248, -12
1756066935, 20m, 14074241, FT8, G0IFI, IO81LD, 223, 'Rx', IU8RFW, JN70DW, 248, -20
1756066935, 20m, 14075577, FT8, G0IFI, IO81LD, 223, 'Rx', ON2BCB, JO21CD, 209, -13
1756066950, 20m, 14076306, FT8, G0IFI, IO81LD, 223, 'Rx', IZ6ENT, JN72LL, 248, -7
1756066950, 20m, 14076057, FT8, G0IFI, IO81LD, 223, 'Rx', K1WY, FN31PS22, 291, -4
1756066965, 20m, 14076329, FT8, G0IFI, IO81LD, 223, 'Rx', DL5EBS, JO31NH, 230, -1
1756066965, 20m, 14076058, FT8, G0IFI, IO81LD, 223, 'Rx', IZ3KLB, JN55TT, 248, -17
1756066965, 20m, 14076429, FT8, G0IFI, IO81LD, 223, 'Rx', SP6AXW, JO80DT38, 269, -12
1756066965, 20m, 14075601, FT8, G0IFI, IO81LD, 223, 'Rx', F4MGP, JN04HM, 227, -19
1756066980, 20m, 14075924, FT8, G0IFI, IO81LD, 223, 'Rx', IW3BYL, JN56NC51, 248, -13
1756066980, 20m, 14075749, FT8, G0IFI, IO81LD, 223, 'Rx', OZ5FN, JO56CD, 221, -24
1756066980, 20m, 14076881, FT8, G0IFI, IO81LD, 223, 'Rx', YO2CPS, KN15KU, 275, -4
1756066995, 20m, 14076093, FT8, G0IFI, IO81LD, 223, 'Rx', TF8KW, HP84LL, 242, -14
1756066995, 20m, 14074802, FT8, G0IFI, IO81LD, 223, 'Rx', SP6DVD, JO81ND34, 269, -13
1756067010, 20m, 14076307, FT8, G0IFI, IO81LD, 223, 'Rx', DJ2IO, JO31MK44, 230, -15
